competition_id,competition_name,country
AFAC,Afc Asian Cup,International
AFCN,Africa Cup Of Nations,International
ARG1,Torneo Apertura,Argentina
AUS1,A League Men,Australia
BE1,Jupiler Pro League,Belgium
BRA1,Campeonato Brasileiro Serie A,Brazil
C1,Super League,Switzerland
CDR,Copa Del Rey,Spain
CGB,Efl Cup,England
CIT,Italy Cup,Italy
CL,Uefa Champions League,International
COPA,Copa America,International
DFB,Dfb Pokal,Germany
DFL,Franz Beckenbauer Supercup,Germany
DK1,Superliga,Denmark
EL,Uefa Europa League,International
ES1,Laliga,Spain
EURO,Uefa Euro,International
FAC,Fa Cup,England
FIWC,World Cup,International
FR1,Ligue 1,France
FRCH,Trophee Des Champions,France
GB1,Premier League,England
GBCS,Community Shield,England
GR1,Super League 1,Greece
IT1,Serie A,Italy
JAP1,J1 League,Japan
KLUB,Fifa Klub Wm,International
KR1,Supersport Hnl,Croatia
L1,Bundesliga,Germany
MEX1,Liga Mx Clausura,Mexico
MLS1,Major League Soccer,United States
NL1,Eredivisie,Netherlands
NO1,Eliteserien,Norway
PL1,Pko Bp Ekstraklasa,Poland
PO1,Liga Portugal,Portugal
RO1,Superliga,Romania
RSK1,K League 1,"Korea, South"
RU1,Premier Liga,Russia
SA1,Saudi Pro League,Saudi Arabia
SC1,Scottish Premiership,Scotland
SCI,Supercoppa Italiana,Italy
SE1,Allsvenskan,Sweden
SER1,Super Liga Srbije,Serbia
SUC,Supercopa,Spain
TR1,Super Lig,Türkiye
UCOL,Uefa Conference League,International
UKR1,Premier Liga,Ukraine
USC,Uefa Super Cup,International
